,date,tz,city,idx,lat,lon,aqi,pm25,pm10,so2,no2,o3,co,h,t,r,w
0,2022-07-03 11:00:00,+08:00,"Dongcheng Dongsi, Beijing (东城东四)",446,39.929,116.417,48,38,11,1.6,6.4,48,6.4,94,24,,2.5
1,2022-07-03 11:00:00,+08:00,"Temple of Heaven, Dongcheng, Beijing (东城天坛)",447,39.886,116.407,39,30,10,1.6,5.1,39.4,7.3,94,24,,2.5
2,2022-07-03 11:00:00,+08:00,"West Park officials, Beijing (西城官园)",448,39.929,116.339,46,34,20,1.6,5.5,45.5,6.4,94,24,,2.5
3,2022-07-03 11:00:00,+08:00,"Wanshou Temple, Beijing (西城万寿西宫)",449,39.878,116.352,47,25,10,2.1,4.2,46.8,6.4,94,24,,2.5
4,2022-07-03 11:00:00,+08:00,"Chaoyang Olympic Sports Center, Beijing (朝阳奥体中心)",450,39.982,116.397,49,21,38,1.6,5.1,48.8,6.4,94,24,,2.5
5,2022-07-03 11:00:00,+08:00,"Chaoyang Agricultural Exhibition Hall, Beijing (朝阳农展馆)",451,39.937,116.461,43,38,14,1.6,5.1,42.7,7.3,94,24,,2.5
6,2022-07-03 11:00:00,+08:00,"Haidian Wanliu, Beijing (海淀万柳)",452,39.987,116.287,41,34,10,1.6,8.3,41.1,5.5,94,24,,2.5
7,2021-01-18 23:00:00,+08:00,"The Haidian northern New Area, Beijing (海淀北部新区)",453,40.09,116.174,-,89,73,0.6,11,13.9,3.7,78.5,-8.5,,1.5
8,,+08:00,"Haidian Beijing Botanical Garden, Beijing (海淀北京植物园)",454,40.002,116.207,-,,,,,,,78.5,-8.5,,1.5
9,2021-01-18 23:00:00,+08:00,"Fengtai garden, Beijing (丰台花园)",455,39.863,116.279,-,74,,1.1,11.5,15.5,3.7,78.5,-8.5,,1.5
10,2022-07-03 11:00:00,+08:00,"Fengtai Yungang, Beijing (丰台云岗)",456,39.824,116.146,39,13,8,0.6,4.6,39.4,5.5,94,24,,2.5
11,2022-07-03 11:00:00,+08:00,"Shijingshan city, Beijing (石景山古城)",457,39.914,116.184,46,21,6,1.6,8.3,46.3,6.4,94,24,,2.5
12,2022-07-03 11:00:00,+08:00,"Fangshan, Liangxiang, Beijing (房山良乡)",458,39.742,116.136,47,13,11,1.6,6,46.8,7.3,94,24,,2.5
13,2022-07-03 11:00:00,+08:00,"Huangcunzhen, Daxing, Beijing (大兴黄村镇)",459,39.718,116.404,51,17,10,1.6,0.5,50.6,4.6,94,24,,2.5
14,2022-07-03 12:00:00,+08:00,"BDA, Beijing (亦庄开发区)",460,39.795,116.506,53,53,7,1.6,2.8,43.5,6.4,94,24,,0.5
15,2021-01-18 23:00:00,+08:00,"Tongzhou New Town, Beijing (通州新城)",461,39.886,116.663,-,82,54,0.6,13.8,4.9,5.5,78.5,-8.5,,1.5
16,2022-07-03 12:00:00,+08:00,"Shunyi New Town , Beijing (顺义新城)",462,40.127,116.655,59,59,13,1.6,2.3,41.5,4.6,94,24,,0.5
17,2022-07-03 12:00:00,+08:00,"Changping Town, Beijing (昌平镇)",463,40.217,116.23,48,17,7,0.6,2.8,48,4.6,94,24,,0.5
18,2022-07-03 12:00:00,+08:00,"Mentougou, Longquan Town, Beijing (门头沟龙泉镇)",464,39.937,116.106,40,21,31,1.6,6,40.3,5.5,94,24,,0.5
19,2022-07-03 12:00:00,+08:00,"Pinggu town, Beijing (平谷镇)",465,40.143,117.1,80,80,50,1.6,2.8,29.7,10,94,24,,0.5
20,2022-07-03 12:00:00,+08:00,"Huairou town, Beijing (怀柔镇)",466,40.328,116.628,58,57,20,1.6,2.8,57.8,5.5,94,24,,0.5
21,2022-07-03 12:00:00,+08:00,"The town of Miyun, Beijing (密云镇)",467,40.37,116.832,63,63,20,1.6,2.3,43.9,5.5,94,24,,0.5
22,2022-07-03 12:00:00,+08:00,"Yanqing town, Beijing (延庆镇)",468,40.453,115.972,58,9,2,1.6,1,57.8,3.7,94,24,,0.5
23,2022-07-03 12:00:00,+08:00,"Changping Dingling, Beijing (昌平定陵)",469,40.292,116.22,51,9,5,1.6,2.3,51.3,4.6,94,24,,0.5
